target_idx,x_tgt,y_tgt,repeat,t1_cmd,t2_cmd,t3_cmd,t1_fb,t2_fb,t3_fb,x_meas,y_meas,dx,dy,dist
0,0.0,120.0,1,64.6231,42.0894,42.0894,55.9116,42.1084,42.0908,-0.072,71.391,0.072,48.609,48.609
0,0.0,120.0,2,64.6231,42.0894,42.0894,56.2808,42.082,42.0952,0.054,73.451,-0.054,46.549,46.549
0,0.0,120.0,3,64.6231,42.0894,42.0894,56.3049,42.0952,42.104,0.036,73.528,-0.036,46.472,46.472
0,0.0,120.0,4,64.6231,42.0894,42.0894,56.373,42.1062,42.0952,-0.045,73.893,0.045,46.107,46.107
0,0.0,120.0,5,64.6231,42.0894,42.0894,56.1489,42.093,42.0776,-0.063,72.751,0.063,47.249,47.249
0,0.0,120.0,6,64.6231,42.0894,42.0894,56.1929,42.0996,42.0996,0.0,72.918,0.0,47.082,47.082
1,-120.0,0.0,1,50.6147,63.0108,35.4245,50.5195,56.3599,36.3867,-85.415,17.589,-34.585,-17.589,38.801
1,-120.0,0.0,2,50.6147,63.0108,35.4245,50.5569,56.2698,36.3977,-84.951,18.02,-35.049,-18.02,39.41
1,-120.0,0.0,3,50.6147,63.0108,35.4245,50.4251,54.9778,36.8921,-77.176,19.994,-42.824,-19.994,47.262
1,-120.0,0.0,4,50.6147,63.0108,35.4245,50.4998,56.3247,36.3933,-85.234,17.576,-34.766,-17.576,38.956
1,-120.0,0.0,5,50.6147,63.0108,35.4245,50.5173,56.2149,36.4373,-84.557,17.89,-35.443,-17.89,39.702
1,-120.0,0.0,6,50.6147,63.0108,35.4245,50.5217,56.0501,36.4988,-83.564,18.258,-36.436,-18.258,40.754
2,-120.0,-120.0,1,38.731,74.5651,50.6876,38.8345,56.8521,50.5679,-29.506,-73.043,-90.494,-46.957,101.952
2,-120.0,-120.0,2,38.731,74.5651,50.6876,38.9136,56.406,50.5503,-27.439,-71.513,-92.561,-48.487,104.492
2,-120.0,-120.0,3,38.731,74.5651,50.6876,38.8762,56.7971,50.5525,-29.309,-72.677,-90.691,-47.323,102.295
2,-120.0,-120.0,4,38.731,74.5651,50.6876,38.8828,56.5686,50.5327,-28.301,-72.023,-91.699,-47.977,103.491
2,-120.0,-120.0,5,38.731,74.5651,50.6876,38.8433,56.8125,50.5459,-29.415,-72.852,-90.585,-47.148,102.12
2,-120.0,-120.0,6,38.731,74.5651,50.6876,38.8367,56.6675,50.5349,-28.768,-72.489,-91.232,-47.511,102.861
3,120.0,0.0,1,50.6147,35.4245,63.0108,50.5283,36.5493,55.8018,82.234,18.903,37.766,-18.903,42.232
3,120.0,0.0,2,50.6147,35.4245,63.0108,50.5283,36.4834,56.0171,83.472,18.422,36.528,-18.422,40.91
3,120.0,0.0,3,50.6147,35.4245,63.0108,50.5129,36.5186,55.9446,83.009,18.476,36.991,-18.476,41.349
3,120.0,0.0,4,50.6147,35.4245,63.0108,50.5107,36.5076,55.971,83.172,18.412,36.828,-18.412,41.174
3,120.0,0.0,5,50.6147,35.4245,63.0108,50.5283,36.4614,56.0281,83.608,18.438,36.392,-18.438,40.796
3,120.0,0.0,6,50.6147,35.4245,63.0108,50.5305,36.4131,56.1951,84.557,18.069,35.443,-18.069,39.783
