x_cmd,y_cmd,x_meas,y_meas,err_x,err_y,dist,t1_fb,t2_fb,t3_fb
-30.0,90.0,-29.539,89.926,-0.461,0.074,0.467,37.0942,20.0413,11.3269
-60.0,90.0,-59.721,90.204,-0.279,-0.204,0.346,38.083,25.3191,7.7498
-90.0,90.0,-89.822,90.38,-0.178,-0.38,0.42,39.7727,31.1946,4.9131
-120.0,90.0,-119.974,89.838,-0.026,0.162,0.164,42.0864,37.6677,2.852
-120.0,120.0,-120.065,119.542,0.065,0.458,0.462,48.3113,37.8149,2.4939
-90.0,120.0,-90.443,119.919,0.443,0.081,0.45,46.0986,31.4143,4.6538
-60.0,120.0,-60.399,119.922,0.399,0.078,0.406,44.4661,25.4575,7.5103
-30.0,120.0,-30.164,119.665,0.164,0.335,0.373,43.429,20.0259,11.0391
0.0,120.0,-0.353,120.267,0.353,-0.267,0.443,43.1653,15.1743,15.0688
30.0,120.0,29.582,120.095,0.418,-0.095,0.429,43.4597,11.0435,19.8633
60.0,120.0,59.611,120.26,0.389,-0.26,0.467,44.4507,7.5146,25.2422
90.0,120.0,89.654,120.042,0.346,-0.042,0.348,46.0657,4.7087,31.2429
120.0,120.0,119.736,120.195,0.264,-0.195,0.328,48.4102,2.4961,37.738
