t_s,label,x_ref,y_ref,t1_cmd,t2_cmd,t3_cmd,t1_fb,t2_fb,t3_fb
1.804,home_init,0.0,0.0,44.9169,44.9169,44.9169,5.113,4.9482,5.7854
2.921,target_p1_r1,0.0,120.0,64.6231,42.0894,42.0894,55.9116,42.1084,42.0908
4.045,home_p1_r1,0.0,0.0,44.9169,44.9169,44.9169,53.1826,44.9275,44.8989
5.167,target_p1_r2,0.0,120.0,64.6231,42.0894,42.0894,56.2808,42.082,42.0952
6.289,home_p1_r2,0.0,0.0,44.9169,44.9169,44.9169,53.2068,44.9253,44.9011
7.412,target_p1_r3,0.0,120.0,64.6231,42.0894,42.0894,56.3049,42.0952,42.104
8.536,home_p1_r3,0.0,0.0,44.9169,44.9169,44.9169,53.1035,44.9319,44.9077
9.66,target_p1_r4,0.0,120.0,64.6231,42.0894,42.0894,56.373,42.1062,42.0952
10.783,home_p1_r4,0.0,0.0,44.9169,44.9169,44.9169,53.1936,44.9341,44.9143
11.903,target_p1_r5,0.0,120.0,64.6231,42.0894,42.0894,56.1489,42.093,42.0776
13.03,home_p1_r5,0.0,0.0,44.9169,44.9169,44.9169,52.9893,44.9385,44.9055
14.152,target_p1_r6,0.0,120.0,64.6231,42.0894,42.0894,56.1929,42.0996,42.0996
15.276,home_p1_r6,0.0,0.0,44.9169,44.9169,44.9169,53.0925,44.9363,44.9011
16.402,target_p2_r1,-120.0,0.0,50.6147,63.0108,35.4245,50.5195,56.3599,36.3867
17.525,home_p2_r1,0.0,0.0,44.9169,44.9169,44.9169,45.0286,51.7742,43.875
18.649,target_p2_r2,-120.0,0.0,50.6147,63.0108,35.4245,50.5569,56.2698,36.3977
19.776,home_p2_r2,0.0,0.0,44.9169,44.9169,44.9169,45.011,51.5127,43.9541
20.881,target_p2_r3,-120.0,0.0,50.6147,63.0108,35.4245,50.4251,54.9778,36.8921
22.0,home_p2_r3,0.0,0.0,44.9169,44.9169,44.9169,45.0396,51.9258,43.8201
23.126,target_p2_r4,-120.0,0.0,50.6147,63.0108,35.4245,50.4998,56.3247,36.3933
24.25,home_p2_r4,0.0,0.0,44.9169,44.9169,44.9169,45.0242,51.6819,43.9014
25.374,target_p2_r5,-120.0,0.0,50.6147,63.0108,35.4245,50.5173,56.2149,36.4373
26.5,home_p2_r5,0.0,0.0,44.9169,44.9169,44.9169,45.0264,51.4819,43.9387
27.62,target_p2_r6,-120.0,0.0,50.6147,63.0108,35.4245,50.5217,56.0501,36.4988
28.743,home_p2_r6,0.0,0.0,44.9169,44.9169,44.9169,45.0483,51.7764,43.875
29.869,target_p3_r1,-120.0,-120.0,38.731,74.5651,50.6876,38.8345,56.8521,50.5679
30.992,home_p3_r1,0.0,0.0,44.9169,44.9169,44.9169,44.7847,62.8638,45.0176
32.112,target_p3_r2,-120.0,-120.0,38.731,74.5651,50.6876,38.9136,56.406,50.5503
33.238,home_p3_r2,0.0,0.0,44.9169,44.9169,44.9169,44.8132,62.6045,45.0198
34.363,target_p3_r3,-120.0,-120.0,38.731,74.5651,50.6876,38.8762,56.7971,50.5525
35.487,home_p3_r3,0.0,0.0,44.9169,44.9169,44.9169,44.8132,62.6748,45.0198
36.608,target_p3_r4,-120.0,-120.0,38.731,74.5651,50.6876,38.8828,56.5686,50.5327
37.734,home_p3_r4,0.0,0.0,44.9169,44.9169,44.9169,44.8242,62.644,45.022
38.859,target_p3_r5,-120.0,-120.0,38.731,74.5651,50.6876,38.8433,56.8125,50.5459
39.983,home_p3_r5,0.0,0.0,44.9169,44.9169,44.9169,44.8176,62.7869,45.022
41.106,target_p3_r6,-120.0,-120.0,38.731,74.5651,50.6876,38.8367,56.6675,50.5349
42.218,home_p3_r6,0.0,0.0,44.9169,44.9169,44.9169,44.7319,63.6482,45.0681
43.334,target_p4_r1,120.0,0.0,50.6147,35.4245,63.0108,50.5283,36.5493,55.8018
44.449,home_p4_r1,0.0,0.0,44.9169,44.9169,44.9169,45.0374,43.7102,52.1543
45.57,target_p4_r2,120.0,0.0,50.6147,35.4245,63.0108,50.5283,36.4834,56.0171
46.691,home_p4_r2,0.0,0.0,44.9169,44.9169,44.9169,45.022,43.8662,51.8049
47.81,target_p4_r3,120.0,0.0,50.6147,35.4245,63.0108,50.5129,36.5186,55.9446
48.931,home_p4_r3,0.0,0.0,44.9169,44.9169,44.9169,45.0176,43.8333,51.8643
50.05,target_p4_r4,120.0,0.0,50.6147,35.4245,63.0108,50.5107,36.5076,55.971
51.171,home_p4_r4,0.0,0.0,44.9169,44.9169,44.9169,45.0264,43.8311,51.8774
52.291,target_p4_r5,120.0,0.0,50.6147,35.4245,63.0108,50.5283,36.4614,56.0281
53.415,home_p4_r5,0.0,0.0,44.9169,44.9169,44.9169,45.022,43.897,51.7104
54.538,target_p4_r6,120.0,0.0,50.6147,35.4245,63.0108,50.5305,36.4131,56.1951
55.659,home_p4_r6,0.0,0.0,44.9169,44.9169,44.9169,45.0308,43.8464,51.8269
