x_cmd,y_cmd,x_meas,y_meas,err_x,err_y,dist,t1_fb,t2_fb,t3_fb
-100.0,-25.0,-99.693,-24.791,-0.307,-0.209,0.371,19.7139,38.8894,11.3159
-125.0,-25.0,-124.932,-24.593,-0.068,-0.407,0.412,21.8782,43.842,9.613
-150.0,-25.0,-149.529,-24.917,-0.471,-0.083,0.478,24.4775,49.0078,8.5188
-150.0,0.0,-150.295,-0.337,0.295,0.337,0.448,28.3821,47.4126,6.0798
-125.0,0.0,-125.378,-0.17,0.378,0.17,0.414,25.752,42.0996,7.2422
-100.0,0.0,-100.425,-0.175,0.425,0.175,0.46,23.6667,37.1074,8.9451
-75.0,0.0,-75.399,-0.219,0.399,0.219,0.455,22.0056,32.3416,11.0391
-50.0,0.0,-50.311,-0.249,0.311,0.249,0.399,20.8213,27.8701,13.5769
-25.0,0.0,-25.332,-0.102,0.332,0.102,0.347,20.1314,23.7283,16.5059
0.0,0.0,-0.454,-0.084,0.454,0.084,0.462,19.9116,19.9973,19.8677
25.0,0.0,24.728,-0.126,0.272,0.126,0.3,20.1401,16.6091,23.658
50.0,0.0,49.717,0.329,0.283,-0.329,0.434,20.8323,13.5264,27.6658
75.0,0.0,74.633,0.289,0.367,-0.289,0.468,22.0254,11.0435,32.1438
100.0,0.0,99.516,-0.043,0.484,0.043,0.485,23.6184,9.0,36.9185
125.0,0.0,124.634,0.172,0.366,-0.172,0.405,25.7278,7.2444,41.915
150.0,0.0,149.671,0.203,0.329,-0.203,0.386,28.415,6.0776,47.2566
150.0,25.0,149.81,24.741,0.19,0.259,0.321,32.6294,4.1902,45.9624
125.0,25.0,125.367,25.1,-0.367,-0.1,0.38,30.0476,5.2646,40.5901
100.0,25.0,100.03,24.768,-0.03,0.232,0.234,27.9316,7.0862,35.4836
75.0,25.0,75.093,24.752,-0.093,0.248,0.265,26.2881,9.178,30.6453
50.0,25.0,50.285,24.685,-0.285,0.315,0.424,25.1279,11.718,26.165
25.0,25.0,25.372,24.813,-0.372,0.187,0.416,24.4314,14.6536,21.9683
0.0,25.0,0.35,25.098,-0.35,-0.098,0.364,24.1897,17.978,18.0791
-25.0,25.0,-24.706,24.984,-0.294,0.016,0.295,24.4182,21.8188,14.6931
-50.0,25.0,-49.596,25.084,-0.404,-0.084,0.413,25.0972,25.9453,11.6807
-75.0,25.0,-74.704,25.273,-0.296,-0.273,0.403,26.3057,30.4915,9.1165
-100.0,25.0,-99.79,25.15,-0.21,-0.15,0.259,27.9075,35.3474,6.9895
-125.0,25.0,-124.69,25.078,-0.31,-0.078,0.319,30.0542,40.5132,5.3965
-150.0,25.0,-149.733,25.326,-0.267,-0.326,0.421,32.6953,45.8943,4.1177
-150.0,50.0,-150.226,49.765,0.226,0.235,0.326,37.2634,45.1165,2.7092
-125.0,50.0,-125.328,49.827,0.328,0.173,0.371,34.6311,39.5837,3.8782
-100.0,50.0,-100.139,49.865,0.139,0.135,0.193,32.5437,34.3411,5.5986
-75.0,50.0,-75.321,49.795,0.321,0.205,0.381,30.8628,29.4016,7.6355
-50.0,50.0,-50.369,49.951,0.369,0.049,0.373,29.7773,24.8511,10.2327
-25.0,50.0,-24.9,49.747,-0.1,0.253,0.272,28.9863,20.4961,13.2451
0.0,50.0,-0.445,49.885,0.445,0.115,0.459,28.8084,16.752,16.6223
25.0,50.0,24.935,50.278,0.065,-0.278,0.286,29.0413,13.1594,20.4258
50.0,50.0,49.674,50.356,0.326,-0.356,0.483,29.7686,10.2173,24.6467
75.0,50.0,74.753,49.928,0.247,0.072,0.257,30.8474,7.6707,29.2786
100.0,50.0,100.031,50.304,-0.031,-0.304,0.306,32.5503,5.4976,34.2356
125.0,50.0,124.643,50.053,0.357,-0.053,0.361,34.6553,3.9661,39.4717
150.0,50.0,150.097,50.383,-0.097,-0.383,0.395,37.303,2.6016,45.0132
150.0,75.0,149.822,74.615,0.178,0.385,0.424,42.0864,1.7776,44.5627
125.0,75.0,125.427,75.05,-0.427,-0.05,0.43,39.5156,2.8059,38.9465
100.0,75.0,100.13,74.844,-0.13,0.156,0.203,37.4194,4.6011,33.6292
75.0,75.0,75.206,74.68,-0.206,0.32,0.381,35.7627,6.7039,28.6304
50.0,75.0,50.2,74.908,-0.2,0.092,0.22,34.6531,9.2593,23.959
25.0,75.0,25.334,74.877,-0.334,0.123,0.356,33.9302,12.2212,19.6611
0.0,75.0,0.396,74.916,-0.396,0.084,0.405,33.6907,15.6489,15.7654
-25.0,75.0,-24.769,75.18,-0.231,-0.18,0.293,33.9785,19.5579,12.2827
-50.0,75.0,-49.676,75.185,-0.324,-0.185,0.373,34.6355,23.7964,9.2395
-75.0,75.0,-74.64,75.2,-0.36,-0.2,0.412,35.7583,28.4238,6.6379
-100.0,75.0,-99.832,75.387,-0.168,-0.387,0.422,37.437,33.4841,4.5132
-125.0,75.0,-124.607,75.064,-0.393,-0.064,0.398,39.5046,38.8301,2.9399
-150.0,75.0,-149.795,75.186,-0.205,-0.186,0.277,42.1238,44.4793,1.6589
-150.0,100.0,-149.932,99.593,-0.068,0.407,0.413,47.1775,44.5254,1.1821
-125.0,100.0,-125.482,99.953,0.482,0.047,0.484,44.666,38.8521,2.3203
-100.0,100.0,-100.351,99.74,0.351,0.26,0.437,42.5127,33.3875,4.0012
-75.0,100.0,-75.209,99.731,0.209,0.269,0.34,40.8955,28.2744,6.1436
-50.0,100.0,-50.236,100.065,0.236,-0.065,0.245,39.8232,23.5525,8.7144
-25.0,100.0,-25.362,99.773,0.362,0.227,0.427,39.0696,19.2283,11.7202
0.0,100.0,-0.378,100.163,0.378,-0.163,0.412,38.874,15.2446,15.1326
25.0,100.0,24.726,99.795,0.274,0.205,0.342,39.0762,11.8213,19.1404
50.0,100.0,49.802,100.371,0.198,-0.371,0.42,39.8123,8.677,23.3987
75.0,100.0,74.659,99.782,0.341,0.218,0.405,40.8428,6.1479,28.1272
100.0,100.0,99.612,100.163,0.388,-0.163,0.421,42.5391,4.0408,33.2227
125.0,100.0,124.895,100.355,0.105,-0.355,0.37,44.6572,2.2939,38.6807
150.0,100.0,149.643,100.238,0.357,-0.238,0.429,47.2786,1.1843,44.4617
150.0,125.0,150.005,124.678,-0.005,0.322,0.322,52.519,1.0437,44.9846
125.0,125.0,125.4,124.849,-0.4,0.151,0.427,49.9658,2.2148,39.1531
100.0,125.0,99.965,124.872,0.035,0.128,0.133,47.8872,3.9858,33.5632
75.0,125.0,75.277,124.75,-0.277,0.25,0.373,46.2327,6.0227,28.3931
50.0,125.0,50.291,124.951,-0.291,0.049,0.295,45.1516,8.6309,23.6206
25.0,125.0,25.282,124.818,-0.282,0.182,0.336,44.4639,11.7136,19.2612
0.0,125.0,0.412,124.91,-0.412,0.09,0.421,44.1826,15.0996,15.2227
-25.0,125.0,-24.592,125.084,-0.408,-0.084,0.417,44.4727,19.0986,11.7532
-50.0,125.0,-49.535,124.996,-0.465,0.004,0.465,45.0923,23.4272,8.655
-75.0,125.0,-74.707,125.111,-0.293,-0.111,0.314,46.2634,28.2634,6.0535
-100.0,125.0,-99.799,125.241,-0.201,-0.241,0.314,47.885,33.449,3.8936
-125.0,125.0,-124.784,125.306,-0.216,-0.306,0.375,49.9856,38.9971,2.2192
-150.0,125.0,-149.807,125.003,-0.193,-0.003,0.193,52.5938,44.9758,1.0942
-150.0,150.0,nan,nan,nan,nan,nan,nan,nan,nan
-125.0,150.0,nan,nan,nan,nan,nan,nan,nan,nan
-100.0,150.0,-100.352,149.841,0.352,0.159,0.386,53.4023,34.3191,4.2539
-75.0,150.0,-75.207,149.812,0.207,0.188,0.279,51.7983,29.0281,6.4314
-50.0,150.0,-50.371,149.781,0.371,0.219,0.431,50.6602,24.1831,9.0132
-25.0,150.0,-25.452,149.862,0.452,0.138,0.472,49.99,19.738,12.0608
0.0,150.0,-0.32,150.007,0.32,-0.007,0.32,49.7637,15.6753,15.5786
25.0,150.0,24.567,150.043,0.433,-0.043,0.435,50.0142,12.1816,19.593
50.0,150.0,49.803,149.893,0.197,0.107,0.224,50.647,9.0527,24.0557
75.0,150.0,74.568,150.126,0.432,-0.126,0.45,51.8049,6.4534,28.8699
100.0,150.0,99.745,150.076,0.255,-0.076,0.266,53.3892,4.2715,34.1675
125.0,150.0,nan,nan,nan,nan,nan,nan,nan,nan
150.0,150.0,nan,nan,nan,nan,nan,nan,nan,nan
