x_cmd,y_cmd,x_meas,y_meas,err_x,err_y,dist,t1_fb,t2_fb,t3_fb
-150.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
-125.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
-100.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
-75.0,-150.0,-74.675,-149.873,-0.325,-0.127,0.349,4.667,50.5503,32.2559
-50.0,-150.0,-50.12,-150.066,0.12,0.066,0.136,3.542,46.8281,34.4751
-25.0,-150.0,-25.324,-150.191,0.324,0.191,0.376,2.8301,43.3081,37.0415
0.0,-150.0,-0.426,-150.132,0.426,0.132,0.446,2.6257,40.0693,39.9639
25.0,-150.0,24.616,-149.951,0.384,-0.049,0.387,2.8499,37.0876,43.1807
50.0,-150.0,49.614,-150.046,0.386,0.046,0.388,3.5266,34.5212,46.7512
75.0,-150.0,74.527,-149.879,0.473,-0.121,0.488,4.6692,32.2778,50.5349
100.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
125.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
150.0,-150.0,nan,nan,nan,nan,nan,nan,nan,nan
150.0,-125.0,nan,nan,nan,nan,nan,nan,nan,nan
125.0,-125.0,nan,nan,nan,nan,nan,nan,nan,nan
100.0,-125.0,99.767,-125.382,0.233,0.382,0.448,8.0684,25.73,50.8272
75.0,-125.0,75.319,-125.263,-0.319,0.263,0.413,6.4644,27.5515,46.6699
50.0,-125.0,50.352,-125.316,-0.352,0.316,0.473,5.2844,29.8455,42.7105
25.0,-125.0,25.332,-125.179,-0.332,0.179,0.377,4.6252,32.5261,39.0234
0.0,-125.0,0.333,-124.944,-0.333,-0.056,0.338,4.3857,35.5056,35.5913
-25.0,-125.0,-24.636,-124.889,-0.364,-0.111,0.381,4.6033,38.8543,32.5305
-50.0,-125.0,-49.582,-124.881,-0.418,-0.119,0.435,5.3196,42.5435,29.8696
-75.0,-125.0,-74.669,-124.647,-0.331,-0.353,0.484,6.4731,46.4656,27.4922
-100.0,-125.0,-99.595,-124.935,-0.405,-0.065,0.41,8.064,50.7129,25.6355
-125.0,-125.0,nan,nan,nan,nan,nan,nan,nan,nan
-150.0,-125.0,nan,nan,nan,nan,nan,nan,nan,nan
-150.0,-100.0,nan,nan,nan,nan,nan,nan,nan,nan
-125.0,-100.0,-124.648,-100.169,-0.352,0.169,0.391,12.4255,51.8137,19.8215
-100.0,-100.0,-100.332,-100.32,0.332,0.32,0.461,10.3271,47.3599,21.3376
-75.0,-100.0,-75.426,-100.113,0.426,0.113,0.441,8.7363,43.0203,23.2888
-50.0,-100.0,-50.063,-100.024,0.063,0.024,0.067,7.5168,38.8367,25.6487
-25.0,-100.0,-25.373,-100.225,0.373,0.225,0.436,6.8709,35.1694,28.4656
0.0,-100.0,-0.44,-100.139,0.44,0.139,0.461,6.5984,31.6538,31.5374
25.0,-100.0,24.78,-99.697,0.22,-0.303,0.374,6.8643,28.415,34.9695
50.0,-100.0,49.685,-99.887,0.315,-0.113,0.335,7.5344,25.6816,38.7708
75.0,-100.0,74.824,-99.572,0.176,-0.428,0.463,8.7473,23.2471,42.8379
100.0,-100.0,99.598,-100.001,0.402,0.001,0.402,10.2942,21.3289,47.1797
125.0,-100.0,124.694,-100.047,0.306,0.047,0.31,12.4497,19.8062,51.8115
150.0,-100.0,nan,nan,nan,nan,nan,nan,nan,nan
150.0,-75.0,149.743,-75.207,0.257,0.207,0.329,17.7605,14.7964,53.7429
125.0,-75.0,125.348,-75.055,-0.348,0.055,0.352,15.1458,15.8467,48.8628
100.0,-75.0,100.321,-75.245,-0.321,0.245,0.403,13.0386,17.521,44.2046
75.0,-75.0,75.322,-75.194,-0.322,0.194,0.376,11.4456,19.5798,39.7749
50.0,-75.0,50.137,-75.161,-0.137,0.161,0.212,10.2261,21.988,35.521
25.0,-75.0,25.362,-75.239,-0.362,0.239,0.434,9.523,24.8071,31.678
0.0,-75.0,0.21,-74.851,-0.21,-0.149,0.258,9.3032,27.9602,28.0173
-25.0,-75.0,-24.54,-74.952,-0.46,-0.048,0.463,9.5295,31.5088,24.8577
-50.0,-75.0,-49.595,-74.781,-0.405,-0.219,0.46,10.2524,35.387,21.9946
-75.0,-75.0,-74.818,-74.763,-0.182,-0.237,0.299,11.395,39.5815,19.4963
-100.0,-75.0,-99.58,-74.776,-0.42,-0.224,0.476,13.0034,43.9893,17.4749
-125.0,-75.0,-124.534,-75.117,-0.466,0.117,0.48,15.1238,48.7551,15.9631
-150.0,-75.0,-149.805,-74.634,-0.195,-0.366,0.415,17.8132,53.6792,14.6887
-150.0,-50.0,-149.927,-50.374,-0.073,0.374,0.381,20.9136,51.2776,11.4412
-125.0,-50.0,-125.308,-50.041,0.308,0.041,0.311,18.2856,46.2085,12.4937
-100.0,-50.0,-100.15,-50.017,0.15,0.017,0.151,16.1939,41.3899,14.1833
-75.0,-50.0,-75.294,-50.334,0.294,0.334,0.445,14.5063,36.8789,16.262
-50.0,-50.0,-50.291,-50.31,0.291,0.31,0.425,13.3528,32.6052,18.7537
-25.0,-50.0,-25.281,-50.036,0.281,0.036,0.283,12.6343,28.5535,21.5596
0.0,-50.0,-0.413,-50.1,0.413,0.1,0.425,12.4387,24.9807,24.8665
25.0,-50.0,24.59,-50.06,0.41,0.06,0.414,12.6563,21.6826,28.4832
50.0,-50.0,49.865,-49.628,0.135,-0.372,0.396,13.3857,18.6768,32.425
75.0,-50.0,74.78,-49.944,0.22,-0.056,0.227,14.5305,16.262,36.7471
100.0,-50.0,99.636,-49.931,0.364,-0.069,0.371,16.1873,14.2317,41.2998
125.0,-50.0,124.638,-49.858,0.362,-0.142,0.389,18.2571,12.52,46.0657
150.0,-50.0,149.583,-49.768,0.417,-0.232,0.477,20.9619,11.3862,51.1545
150.0,-25.0,150.306,-25.259,-0.306,0.259,0.401,24.4468,8.4463,49.1484
125.0,-25.0,125.418,-25.09,-0.418,0.09,0.428,21.898,9.6899,44.0178
100.0,-25.0,100.255,-25.26,-0.255,0.26,0.364,19.6897,11.3269,39.041
75.0,-25.0,75.33,-25.157,-0.33,0.157,0.365,18.0308,13.3594,34.3542
50.0,-25.0,50.34,-24.868,-0.34,-0.132,0.365,16.9365,15.8752,29.9839
25.0,-25.0,25.208,-25.179,-0.208,0.179,0.274,16.218,18.8833,25.9695
0.0,-25.0,0.164,-25.197,-0.164,0.197,0.256,15.9456,22.1836,22.2297
-25.0,-25.0,-24.553,-24.862,-0.447,-0.138,0.468,16.2246,25.8113,18.9053
-50.0,-25.0,-49.678,-25.042,-0.322,0.042,0.324,16.8816,29.885,15.9609
-75.0,-25.0,-74.57,-24.996,-0.43,-0.004,0.43,18.0286,34.2158,13.4297
